,Periodo por días,Precio Real Max
0,2018-02-01,0.2115
1,2018-02-02,0.2115
2,2018-02-03,0.2136
3,2018-02-04,0.2144
4,2018-02-05,0.2188
5,2018-02-06,0.2193
6,2018-02-07,0.2214
7,2018-02-08,0.2228
8,2018-02-09,0.2228
9,2018-02-10,0.2228
10,2018-02-11,0.2225
11,2018-02-12,0.225
12,2018-02-13,0.2217
13,2018-02-14,0.2215
14,2018-02-15,0.2227
15,2018-02-16,0.2276
16,2018-02-17,0.2329
17,2018-02-18,0.2387
18,2018-02-19,0.2462
19,2018-02-20,0.2503
20,2018-02-21,0.2515
21,2018-02-22,0.2513
22,2018-02-23,0.2488
23,2018-02-24,0.2437
24,2018-02-25,0.243
25,2018-02-26,0.2443
26,2018-02-27,0.2456
27,2018-02-28,0.2487
28,2018-03-01,0.2504
29,2018-03-02,0.2504
30,2018-03-03,0.2486
31,2018-03-04,0.248
32,2018-03-05,0.2459
33,2018-03-06,0.2456
34,2018-03-07,0.2449
35,2018-03-08,0.2446
36,2018-03-09,0.2515
37,2018-03-10,0.247
38,2018-03-11,0.2323
39,2018-03-12,0.2343
40,2018-03-13,0.2477
41,2018-03-14,0.2532
42,2018-03-15,0.25
43,2018-03-16,0.2562
44,2018-03-17,0.2516
